term_id,name,old_slug,new_slug,parent_term_id
43,Prompt教程,prompt%e6%95%99%e7%a8%8b,prompt-tutorials,0
42,AI工具,ai%e5%b7%a5%e5%85%b7,ai-tools,0
52,AI写作,ai%e5%86%99%e4%bd%9c,ai-writing,0
41,Word教程,word%e6%95%99%e7%a8%8b,word-tutorials,0
44,Excel教程,excel%e6%95%99%e7%a8%8b,excel-tutorials,0
51,PPT制作,ppt%e5%88%b6%e4%bd%9c,ppt-design,0
57,创意设计,%e5%88%9b%e6%84%8f%e8%ae%be%e8%ae%a1,creative-design,0
54,设计创意,%e8%ae%be%e8%ae%a1%e5%88%9b%e6%84%8f,design-ideas,0
55,营销推广,%e8%90%a5%e9%94%80%e6%8e%a8%e5%b9%bf,marketing-growth,0
53,视频制作,%e8%a7%86%e9%a2%91%e5%88%b6%e4%bd%9c,video-production,0
56,法律服务,%e6%b3%95%e5%be%8b%e6%9c%8d%e5%8a%a1,legal-services,0
58,教育培训,%e6%95%99%e8%82%b2%e5%9f%b9%e8%ae%ad,education-training,0
64,编程开发,%e7%bc%96%e7%a8%8b%e5%bc%80%e5%8f%91,programming-development,0
59,知识管理,%e7%9f%a5%e8%af%86%e7%ae%a1%e7%90%86,knowledge-management,0
60,音频制作,%e9%9f%b3%e9%a2%91%e5%88%b6%e4%bd%9c,audio-production,0
61,生活服务,%e7%94%9f%e6%b4%bb%e6%9c%8d%e5%8a%a1,life-services,0
62,自媒体,%e8%87%aa%e5%aa%92%e4%bd%93,creator-media,0
63,AI基础入门,ai%e5%9f%ba%e7%a1%80%e5%85%a5%e9%97%a8,ai-fundamentals,0
22,机器人&AI,robotai,ai-hub,0
33,AI技巧,aiskill,ai-tips,22
34,机器人,robot,robotics,22
24,创业,busniess,business,0
31,工具推荐,tool,tool-recommendations,24
32,效率技巧,efficiencytip,productivity-tips,24
27,副业 & 创业探索,sidejob,side-hustle,24
23,产品经理,productmanager,product-management,0
28,技能成长,productmanagerskill,skill-growth,23
29,职业规划,zhiyeguihua,career-planning,23
37,个人记录,%e4%b8%aa%e4%ba%ba%e8%ae%b0%e5%bd%95,personal-journal,23
26,生活与阅读,lifeandreading,life-reading,0
30,阅读笔记,readingnotes,reading-notes,26
19,财富的密码,wealth,wealth-guide,0
25,职业成长,careergrowth,career-growth,0
20,关于我,me,about-me,0
1,未分类,uncategorized,uncategorized,0
